completion_time,src,start,column,validator,completed,type,samples,block_id,messages,hops,id,row,num_messages
,89333137326635079115430978578397364590151192892532202457099489458922729533182,0,,,,FindOperation,,,120|121|122|828|923|964|,3,0,,
,71896941978754809488137974348151998693205792533709324513258578369466739949960,0,,,,FindOperation,,,123|124|125|655|655|865|865|907|907|1304|1304|1214|1214|1482|1482|1670|1670|1902|1902|2009|2009|2488|2488|2632|2632|2552|2552|2825|2825|2981|3099|3178|,16,1,,
,113971621484583213149305319679067523870715092451021047447352655827264442281807,0,,,,FindOperation,,,126|127|128|602|602|640|640|805|805|1043|1043|1160|1160|1568|1568|1411|1411|1758|1758|2048|2048|2201|2201|2512|2512|2742|2742|2957|2957|2986|3244|3305|,16,2,,
,90511429851826879211065261274096806209361290076668493692964796275875003980641,0,,,,FindOperation,,,129|130|131|551|551|653|653|1014|1014|1233|1233|1501|1501|1152|1152|1719|1719|1919|1919|1790|1790|2226|2226|1969|1969|2251|2251|2706|2706|2904|2818|2841|,16,3,,
,107758395224189915966009929936085500083576551061330295183245479691742702859344,0,,,,FindOperation,,,132|133|134|574|574|633|633|837|837|732|732|1064|1064|1291|1291|1717|1717|1414|1414|1873|1873|1920|1920|1658|1658|2295|2295|2436|2436|2595|2785|2988|,16,4,,
,58264319852933632286469580619958992168067118685244184571393188136088086908036,0,,,,FindOperation,,,135|136|137|680|872|1077|,3,5,,
,19191192076126320640924247483532137198489043609278031166569798519948120420409,0,,,,FindOperation,,,138|139|140|543|687|843|,3,6,,
,43568084745305296127223125163439810702938064612217787378858319248651442968139,0,,,,FindOperation,,,141|142|143|816|816|1185|1185|991|991|1023|1023|1529|1529|1429|1429|1733|1733|1905|1905|2087|2087|1890|1890|2366|2366|2476|2476|2127|2127|2527|2527|2860|2860|3026|3026|3148|3248|3346|,19,7,,
,107226767459581317767844583912817849269583998434099643520621297707898981728768,0,,,,FindOperation,,,144|145|146|500|506|782|,3,8,,
,53361331161743896077078469861579638670051149682413463443234311020456303226868,0,,,,FindOperation,,,147|148|149|540|540|671|671|813|813|1181|1181|1220|1220|1403|1403|1626|1626|1797|1797|1957|1957|1950|1950|1971|1971|2339|2339|2395|2395|2717|2580|2998|,16,9,,
,21083679024840227917741926176471142862932536578380136110289082334138381274505,0,,,,FindOperation,,,150|151|152|489|595|1001|,3,10,,
,86943771941966688752667475392185371836174192579274714875607531191477248999971,0,,,,FindOperation,,,153|154|155|667|667|689|689|1115|1115|977|977|1376|1376|1646|1646|1799|1799|2417|2417|2270|2270|2733|2733|2583|2583|2909|2909|2947|2947|3111|3111|3207|3193|3246|,17,11,,
,6139734692434225139696315491748680034056660966745086280273468544856540785789,0,,,,FindOperation,,,156|157|158|544|544|740|740|844|844|985|985|1312|1312|1489|1489|1299|1299|1735|1735|1857|1857|2314|2314|2028|2028|2248|2248|2794|2794|2977|2845|3211|,16,12,,
,83814183170291850251680823880522715558189094423550585243365458794131648333116,0,,,,FindOperation,,,159|160|161|486|486|495|495|790|790|1177|1177|936|936|1055|1055|1352|1352|1387|1387|1574|1574|1789|1789|1737|1737|1925|1925|2464|2464|2408|2418|2956|,16,13,,
,107226767459581317767844583912817849269583998434099643520621297707898981728768,0,,,,FindOperation,,,162|163|164|508|508|711|711|802|802|809|809|1263|1263|1413|1413|1557|1557|1731|1731|2175|2175|2203|2203|2451|2451|2597|2597|2530|2530|2773|2969|3169|,16,14,,
,107758395224189915966009929936085500083576551061330295183245479691742702859344,0,,,,FindOperation,,,165|166|167|571|571|746|746|1126|1126|956|956|1167|1167|1488|1488|1904|1904|1728|1728|2114|2114|2098|2098|1951|1951|2526|2526|2537|2537|2603|2603|3040|3006|3217|,17,15,,
,109013771847957065744947126485427112651375275941206822465313116917139066007929,0,,,,FindOperation,,,168|169|170|525|525|663|663|993|993|824|824|1402|1402|1234|1234|1444|1444|1847|1847|1946|1946|2073|2073|2381|2381|2920|2920|2792|2792|3044|3044|2757|3157|3269|,17,16,,
,50257864748696071111545604552366529653683846146637534008155069048676665739852,0,,,,FindOperation,,,171|172|173|522|522|857|857|974|974|1083|1083|1436|1436|1783|1783|2094|2094|2067|2067|2593|2593|2750|2750|2885|2885|2983|2983|3201|3201|3266|3266|3276|3276|3332|3332|3357|3360|3363|,19,17,,
,43568084745305296127223125163439810702938064612217787378858319248651442968139,0,,,,FindOperation,,,174|175|176|692|692|734|734|765|765|1325|1325|1439|1439|1405|1405|2119|2119|2133|2133|2085|2085|2693|2693|2732|2732|2934|2934|3185|3185|3227|3326|3355|,16,18,,
,90511429851826879211065261274096806209361290076668493692964796275875003980641,0,,,,FindOperation,,,177|178|179|549|549|657|657|733|733|1081|1081|1232|1232|1149|1149|1570|1570|1816|1816|2145|2145|1921|1921|2213|2213|2352|2352|2614|2614|2862|2708|2804|,16,19,,
,21083679024840227917741926176471142862932536578380136110289082334138381274505,0,,,,FindOperation,,,180|181|182|572|572|710|710|754|754|1089|1089|1476|1476|1938|1938|1494|1494|1812|1812|2221|2221|2384|2384|2438|2438|2892|2892|3034|3034|2937|3204|3331|,16,20,,
,21444763903864228777611728735683311458635985122844023709586719375032296896384,0,,,,FindOperation,,,183|184|185|490|490|579|579|695|695|1015|1015|1098|1098|940|940|1443|1443|1566|1566|1693|1693|1894|1894|2338|2338|2282|2282|2341|2341|2770|2811|2931|,16,21,,
,62101433460086714777742258717986077936219151512656858979668212515437770683208,0,,,,FindOperation,,,186|187|188|514|514|644|644|589|589|911|911|877|877|1018|1018|1313|1313|1559|1559|1621|1621|1885|1885|2189|2189|2577|2577|2310|2310|2695|2695|2840|2686|3137|,17,22,,
,107442146857094918533505676591216762960158330958637723605132424179098757693914,0,,,,FindOperation,,,189|190|191|623|623|650|650|776|776|1113|1113|1241|1241|1467|1467|1357|1357|1694|1694|1773|1773|1879|1879|2017|2017|2204|2204|2309|2309|2275|2776|2749|,16,23,,
,53361331161743896077078469861579638670051149682413463443234311020456303226868,0,,,,FindOperation,,,192|193|194|538|538|670|670|811|975|1180|,5,24,,
,107758395224189915966009929936085500083576551061330295183245479691742702859344,0,,,,FindOperation,,,195|196|197|575|575|580|580|886|886|730|730|1326|1326|1274|1274|1754|1754|1743|1743|1456|1456|1994|1994|2086|2086|2455|2455|2278|2278|2450|2450|2854|2854|3129|2999|3056|,18,25,,
,81369626915381206686123294800870750548857161636807104342760885069864211144176,0,,,,FindOperation,,,198|199|200|590|590|1053|957|1032|,4,26,,
,113971621484583213149305319679067523870715092451021047447352655827264442281807,0,,,,FindOperation,,,201|202|203|588|588|897|897|797|797|942|942|1280|1280|1323|1323|1681|1681|2025|2025|2206|2206|2006|2006|2045|2045|2622|2622|2554|2554|2952|2952|3072|3061|3340|,17,27,,
,62101433460086714777742258717986077936219151512656858979668212515437770683208,0,,,,FindOperation,,,204|205|206|604|604|779|779|910|910|1272|1272|1226|1226|1678|1678|1641|1641|1945|1945|2198|2198|1880|1880|2518|2518|2340|2340|2602|2602|2949|2905|3035|,16,28,,
,83814183170291850251680823880522715558189094423550585243365458794131648333116,0,,,,FindOperation,,,207|208|209|669|960|1004|,3,29,,
,110830005025784807707885435240401099235828375068450137393853593228726798821950,0,,,,FindOperation,,,210|211|212|625|625|652|652|716|716|1141|1141|1230|1230|1460|1460|1398|1398|1793|1793|2013|2013|1869|1869|2211|2211|2626|2626|2719|2719|2992|2992|3055|2748|3187|,17,30,,
,16646573879907590399509196024616451507181138714942166530960518507274707557048,0,,,,FindOperation,,,213|214|215|768|768|829|829|1256|1256|1002|1002|1415|1415|1612|1612|1526|1526|1874|1874|2066|2066|2058|2058|2239|2239|1955|1955|2506|2506|2452|2803|3024|,16,31,,
,19191192076126320640924247483532137198489043609278031166569798519948120420409,0,,,,FindOperation,,,216|217|218|541|541|686|686|846|846|1184|1184|1551|1551|1477|1477|1917|1917|2290|2290|2212|2212|2600|2600|2446|2446|2767|2767|2961|2961|3132|3132|3251|3251|3278|3278|3351|3348|3350|,19,32,,
,43568084745305296127223125163439810702938064612217787378858319248651442968139,0,,,,FindOperation,,,219|220|221|690|690|731|731|757|757|1412|1412|1556|1556|1576|1576|2103|2103|2130|2130|2470|2470|2612|2612|3038|3038|2897|2897|3240|3240|3102|3102|3290|3290|3287|3287|3263|3329|3338|,19,33,,
,58264319852933632286469580619958992168067118685244184571393188136088086908036,0,,,,FindOperation,,,222|223|224|482|482|717|717|726|726|878|878|1161|1161|1457|1457|1353|1353|1491|1491|2072|2072|2037|2037|2135|2135|2547|2547|2763|2763|2625|2625|3037|3037|2954|3197|3325|,18,34,,
,109013771847957065744947126485427112651375275941206822465313116917139066007929,0,,,,FindOperation,,,225|226|227|528|812|1074|,3,35,,
,62101433460086714777742258717986077936219151512656858979668212515437770683208,0,,,,FindOperation,,,228|229|230|524|524|592|592|674|674|706|706|1166|1166|1586|1586|1324|1324|1502|1502|1860|1860|2183|2183|2368|2368|2425|2425|2875|2875|2800|3123|3188|,16,36,,
,107226767459581317767844583912817849269583998434099643520621297707898981728768,0,,,,FindOperation,,,231|232|233|775|775|800|800|815|815|1247|1247|1454|1454|1546|1546|1655|1655|2083|2083|2242|2242|1923|1923|2232|2232|2517|2517|2588|2588|2720|3053|3032|,16,37,,
,21083679024840227917741926176471142862932536578380136110289082334138381274505,0,,,,FindOperation,,,234|235|236|573|573|750|750|817|817|1196|1196|1031|1031|1343|1343|1523|1523|1713|1713|1916|1916|2202|2202|2654|2654|2795|2795|2863|2863|3183|3191|3218|,16,38,,
,58264319852933632286469580619958992168067118685244184571393188136088086908036,0,,,,FindOperation,,,237|238|239|483|483|715|715|720|720|992|992|1262|1262|1314|1314|1629|1629|1666|1666|2105|2105|2241|2241|2435|2435|2958|2958|3030|3030|2938|3267|3319|,16,39,,
,80078577880492190055291958835687491351447235353520825150881534967336775717810,0,,,,FindOperation,,,240|241|242|694|694|836|836|926|926|1322|1322|1806|1806|1640|1640|1856|1856|2316|2316|2789|2789|2574|2574|2993|2993|2822|2822|3164|3164|3237|3134|3299|,16,40,,
,80078577880492190055291958835687491351447235353520825150881534967336775717810,0,,,,FindOperation,,,243|244|245|691|698|961|,3,41,,
,109013771847957065744947126485427112651375275941206822465313116917139066007929,0,,,,FindOperation,,,246|247|248|693|693|786|786|814|814|1131|1131|1292|1292|1276|1276|1474|1474|1853|1853|2043|2043|2623|2623|2754|2754|2346|2346|2666|2666|3023|3023|3210|3106|3253|,17,42,,
,8523364268682509341164509062146178716950902529288496594674276389115196640448,0,,,,FindOperation,,,249|250|251|556|945|999|,3,43,,
,20834994022199432358117239076087879786734224697014068324550418630164266292172,0,,,,FindOperation,,,252|253|254|609|609|676|676|724|724|930|930|1254|1254|1682|1682|1552|1552|1547|1547|2322|2322|2233|2233|2573|2573|2849|2849|3002|3002|3135|3254|3306|,16,44,,
,107226767459581317767844583912817849269583998434099643520621297707898981728768,0,,,,FindOperation,,,255|256|257|504|504|864|864|970|970|1092|1092|1350|1350|1625|1625|1774|1774|1954|1954|1826|1826|2320|2320|2035|2035|2505|2505|2634|2634|2805|2604|2944|,16,45,,
,53361331161743896077078469861579638670051149682413463443234311020456303226868,0,,,,FindOperation,,,258|259|260|503|503|581|581|905|905|933|933|1045|1045|1344|1344|1499|1499|1912|1912|2027|2027|2391|2391|2258|2258|2628|2628|2646|2646|3011|3011|3082|3082|3206|3206|3143|3297|3315|,19,46,,
,86943771941966688752667475392185371836174192579274714875607531191477248999971,0,,,,FindOperation,,,261|262|263|662|826|847|,3,47,,
,71896941978754809488137974348151998693205792533709324513258578369466739949960,0,,,,FindOperation,,,264|265|266|600|600|668|668|703|703|1054|1054|1147|1147|1155|1155|1315|1315|1798|1798|1961|1961|1937|1937|2337|2337|2558|2558|2590|2590|2896|2810|3005|,16,48,,
,78506933086795364704086891885315902559701516460652039157379722272371046958496,0,,,,FindOperation,,,267|268|269|492|492|688|688|762|762|755|755|1432|1432|1447|1447|1599|1599|2091|2091|2084|2084|2461|2461|2489|2489|2694|2694|2881|2881|3094|3144|3216|,16,49,,
,81369626915381206686123294800870750548857161636807104342760885069864211144176,0,,,,FindOperation,,,270|271|272|591|591|963|963|949|949|1035|1035|1490|1490|1514|1514|1780|1780|1910|1910|2196|2196|2365|2365|2598|2598|2835|2835|3017|3017|3161|3161|3291|3327|3347|,17,50,,
,107758395224189915966009929936085500083576551061330295183245479691742702859344,0,,,,FindOperation,,,273|274|275|639|742|947|,3,51,,
,19191192076126320640924247483532137198489043609278031166569798519948120420409,0,,,,FindOperation,,,276|277|278|505|505|673|673|696|696|912|912|1216|1216|1171|1171|1699|1699|1918|1918|1897|1897|2553|2553|2579|2579|2793|2793|3045|3045|3256|3256|3231|3231|3324|3324|3361|3356|3358|,19,52,,
,58264319852933632286469580619958992168067118685244184571393188136088086908036,0,,,,FindOperation,,,279|280|281|487|487|714|714|721|721|876|876|1165|1165|1349|1349|1445|1445|1809|1809|1669|1669|1991|1991|2147|2147|2516|2516|2342|2342|2613|2613|2926|2926|3139|3097|3083|,18,53,,
,90511429851826879211065261274096806209361290076668493692964796275875003980641,0,,,,FindOperation,,,282|283|284|499|658|1010|,3,54,,
,110830005025784807707885435240401099235828375068450137393853593228726798821950,0,,,,FindOperation,,,285|286|287|550|550|736|736|794|794|1229|1229|1307|1307|1589|1589|1267|1267|1631|1631|2024|2024|2184|2184|2161|2161|2633|2633|2611|2611|2656|2979|3009|,16,55,,
,21444763903864228777611728735683311458635985122844023709586719375032296896384,0,,,,FindOperation,,,288|289|290|605|605|834|834|1028|1028|887|887|1290|1290|1375|1375|1368|1368|1689|1689|1766|1766|1727|1727|2074|2074|2289|2289|2551|2551|2531|2893|2919|,16,56,,
,80078577880492190055291958835687491351447235353520825150881534967336775717810,0,,,,FindOperation,,,291|292|293|784|784|842|842|929|929|1679|1679|1560|1560|1695|1695|2156|2156|2302|2302|2401|2401|2917|2917|2765|2765|2832|2832|3163|3163|3150|3150|3190|3292|3333|,17,57,,
,8523364268682509341164509062146178716950902529288496594674276389115196640448,0,,,,FindOperation,,,294|295|296|944|944|1003|1003|1085|1085|1742|1742|2038|2038|1974|1974|2601|2601|2481|2481|2679|2679|2861|2861|2918|2918|2955|2955|3063|3063|3117|3117|3272|3272|3279|3279|3311|3339|3301|,19,58,,
,21083679024840227917741926176471142862932536578380136110289082334138381274505,0,,,,FindOperation,,,297|298|299|576|576|756|756|819|819|978|978|1156|1156|1248|1248|1535|1535|1507|1507|1892|1892|1677|1677|2112|2112|2104|2104|2515|2515|2440|2440|2721|2721|2844|2844|2826|2511|2970|,19,59,,
,16646573879907590399509196024616451507181138714942166530960518507274707557048,0,,,,FindOperation,,,300|301|302|527|527|546|546|806|806|823|823|1097|1097|1286|1286|1183|1183|1493|1493|1726|1726|1823|1823|2064|2064|2330|2330|2545|2545|2267|2809|2751|,16,60,,
,36093602753225695073056342998991212823352056071849651795082108548812171441038,0,,,,FindOperation,,,303|304|305|563|563|713|713|1175|1175|955|955|1169|1169|1434|1434|1577|1577|1723|1723|1992|1992|2311|2311|1982|1982|2222|2222|2696|2696|2895|2895|2857|2857|3084|3084|3239|3289|3283|,19,61,,
,36093602753225695073056342998991212823352056071849651795082108548812171441038,0,,,,FindOperation,,,306|307|308|510|510|705|705|712|712|1070|1070|1305|1305|951|951|1425|1425|1448|1448|1711|1711|1794|1794|2077|2077|2378|2378|2498|2498|2671|2371|3033|,16,62,,
,21444763903864228777611728735683311458635985122844023709586719375032296896384,0,,,,FindOperation,,,309|310|311|787|787|909|909|1243|1243|939|939|1406|1406|1527|1527|1600|1600|1651|1651|1895|1895|1900|1900|2262|2262|2521|2521|2358|2358|2432|2799|2906|,16,63,,
,50257864748696071111545604552366529653683846146637534008155069048676665739852,0,,,,FindOperation,,,312|313|314|523|523|645|645|1020|1020|1245|1245|1078|1078|1782|1782|1903|1903|2259|2259|2008|2008|2662|2662|2782|2782|3060|3060|2914|2914|3262|3262|3307|3307|3323|3323|3352|3359|3362|,19,64,,
,89333137326635079115430978578397364590151192892532202457099489458922729533182,0,,,,FindOperation,,,315|316|317|660|660|972|972|982|982|1257|1257|1686|1686|1838|1838|1871|1871|2437|2437|2449|2449|2715|2715|2948|2948|3018|3018|3121|3121|3156|3281|3300|,16,65,,
,15816423376537687498175658716381325840356423323453352469729329490184209416980,0,,,,FindOperation,,,318|319|320|835|948|1059|,3,66,,
,78506933086795364704086891885315902559701516460652039157379722272371046958496,0,,,,FindOperation,,,321|322|323|654|654|737|737|799|799|1130|1130|1158|1158|1428|1428|1336|1336|1729|1729|1788|1788|2026|2026|1732|1732|2499|2499|2406|2406|2846|2564|3155|,16,67,,
,16646573879907590399509196024616451507181138714942166530960518507274707557048,0,,,,FindOperation,,,324|325|326|526|526|548|548|770|770|1124|1124|922|922|1034|1034|1338|1338|1607|1607|1825|1825|1596|1596|1760|1760|2128|2128|2398|2398|2707|2707|2484|2484|2586|2586|2982|3119|3174|,19,68,,
,86943771941966688752667475392185371836174192579274714875607531191477248999971,0,,,,FindOperation,,,327|328|329|661|661|833|833|863|863|1219|1219|1146|1146|1512|1512|1446|1446|1518|1518|2050|2050|2220|2220|2154|2154|2689|2689|2984|2984|3075|3075|3229|3043|3317|,17,69,,
,50257864748696071111545604552366529653683846146637534008155069048676665739852,0,,,,FindOperation,,,330|331|332|647|752|769|,3,70,,
,80078577880492190055291958835687491351447235353520825150881534967336775717810,0,,,,FindOperation,,,333|334|335|697|697|772|772|840|840|1333|1333|1360|1360|1650|1650|1861|1861|2049|2049|2264|2264|2400|2400|2296|2296|2525|2525|2850|2850|2879|2911|3208|,16,71,,
,8523364268682509341164509062146178716950902529288496594674276389115196640448,0,,,,FindOperation,,,336|337|338|507|507|928|928|1082|1082|1218|1218|1608|1608|2176|2176|2122|2122|2529|2529|2068|2068|2647|2647|2801|2801|3000|3000|2945|2945|2975|3270|3303|,16,72,,
,107442146857094918533505676591216762960158330958637723605132424179098757693914,0,,,,FindOperation,,,339|340|341|534|534|684|684|629|629|656|656|1037|1037|1255|1255|1386|1386|1250|1250|1668|1668|1738|1738|1849|1849|1801|1801|2033|2033|2194|2194|2328|2328|2361|2766|2888|,18,73,,
,83814183170291850251680823880522715558189094423550585243365458794131648333116,0,,,,FindOperation,,,342|343|344|484|484|497|497|792|792|1179|1179|935|935|1056|1056|1351|1351|1389|1389|1573|1573|1791|1791|1734|1734|1922|1922|2465|2465|2411|2416|2959|,16,74,,
,78506933086795364704086891885315902559701516460652039157379722272371046958496,0,,,,FindOperation,,,345|346|347|502|502|596|682|1068|,4,75,,
,107442146857094918533505676591216762960158330958637723605132424179098757693914,0,,,,FindOperation,,,348|349|350|619|619|651|651|664|664|1153|1153|1192|1192|1213|1213|1520|1520|1601|1601|1814|1814|1781|1781|1827|1827|2055|2055|2180|2180|2426|2680|2929|,16,76,,
,8523364268682509341164509062146178716950902529288496594674276389115196640448,0,,,,FindOperation,,,351|352|353|509|509|927|927|1075|1075|1080|1080|1465|1465|1661|1661|1741|1741|1642|1642|1850|1850|1977|1977|2195|2195|2065|2065|2367|2367|2668|2668|2672|2672|2620|2620|3138|3198|3230|,19,77,,
,8494962651170941019486294942303452865045959709160683987927972345505688610755,0,,,,FindOperation,,,354|355|356|637|637|890|890|1302|1302|1005|1005|1306|1306|1606|1606|1664|1664|2057|2057|2174|2174|2307|2307|2688|2688|2834|2834|2997|2997|2786|2786|3087|3087|2923|2923|3223|3294|3312|,19,78,,
,83814183170291850251680823880522715558189094423550585243365458794131648333116,0,,,,FindOperation,,,357|358|359|485|485|494|494|704|704|832|832|781|781|1225|1225|1221|1221|1525|1525|1815|1815|1752|1752|2291|2291|2287|2287|2560|2560|2667|2667|2891|3070|3271|,17,79,,
,50257864748696071111545604552366529653683846146637534008155069048676665739852,0,,,,FindOperation,,,360|361|362|533|533|751|751|771|771|1076|1076|1435|1435|1585|1585|2162|2162|1911|1911|2116|2116|2508|2508|2412|2412|2724|2724|2816|2816|2939|3165|3171|,16,80,,
,110830005025784807707885435240401099235828375068450137393853593228726798821950,0,,,,FindOperation,,,363|364|365|679|679|1057|1057|858|858|987|987|1380|1380|1497|1497|1759|1759|1887|1887|1736|1736|1984|1984|2266|2266|2261|2261|2250|2250|2584|2657|2808|,16,81,,
,20834994022199432358117239076087879786734224697014068324550418630164266292172,0,,,,FindOperation,,,366|367|368|562|562|606|606|718|718|1123|1123|1203|1203|1647|1647|1472|1472|1993|1993|2146|2146|1884|1884|2276|2276|2336|2336|2319|2319|2727|2727|3057|3057|3167|3167|2974|3096|3328|,19,82,,
,78506933086795364704086891885315902559701516460652039157379722272371046958496,0,,,,FindOperation,,,369|370|371|488|488|685|685|753|753|848|848|1222|1222|1150|1150|1335|1335|1524|1524|1864|1864|1948|1948|1835|1835|2292|2292|2599|2599|2636|2848|3136|,16,83,,
,6139734692434225139696315491748680034056660966745086280273468544856540785789,0,,,,FindOperation,,,372|373|374|537|839|986|,3,84,,
,113971621484583213149305319679067523870715092451021047447352655827264442281807,0,,,,FindOperation,,,375|376|377|585|585|796|796|901|901|1182|1182|1330|1330|1777|1777|1680|1680|2240|2240|1999|1999|2253|2253|2563|2563|2814|2814|2755|2755|2866|3153|3209|,16,85,,
,6139734692434225139696315491748680034056660966745086280273468544856540785789,0,,,,FindOperation,,,378|379|380|498|498|542|542|613|613|1079|1079|1024|1024|1215|1215|1786|1786|2252|2252|1915|1915|2131|2131|2475|2475|2687|2687|2709|2709|2873|2894|2768|,16,86,,
,89333137326635079115430978578397364590151192892532202457099489458922729533182,0,,,,FindOperation,,,381|382|383|480|480|831|831|1033|1033|1327|1327|1132|1132|1811|1811|1824|1824|2210|2210|2231|2231|2158|2158|2544|2544|2539|2539|2836|2836|2842|2842|2876|2876|3127|3199|3238|,18,87,,
,8494962651170941019486294942303452865045959709160683987927972345505688610755,0,,,,FindOperation,,,384|385|386|641|937|1000|,3,88,,
,20834994022199432358117239076087879786734224697014068324550418630164266292172,0,,,,FindOperation,,,387|388|389|610|677|723|,3,89,,
,112865437415906332786328398388168845416308980718933860169122309032360379224223,0,,,,FindOperation,,,390|391|392|860|860|852|852|1038|1038|1645|1645|1617|1617|1690|1690|2134|2134|2111|2111|2477|2477|2486|2486|2635|2635|2859|2859|2670|2670|2967|2967|3064|3064|3203|3203|3282|3321|3277|,19,90,,
,109013771847957065744947126485427112651375275941206822465313116917139066007929,0,,,,FindOperation,,,393|394|395|760|760|780|780|810|810|1129|1129|1395|1395|1423|1423|1662|1662|2216|2216|2152|2152|2399|2399|2641|2641|2199|2199|2946|2946|2925|2925|3228|3100|3274|,17,91,,
,112865437415906332786328398388168845416308980718933860169122309032360379224223,0,,,,FindOperation,,,396|397|398|635|849|1039|,3,92,,
,15816423376537687498175658716381325840356423323453352469729329490184209416980,0,,,,FindOperation,,,399|400|401|530|530|761|761|997|997|1301|1301|1228|1228|1863|1863|2010|2010|1972|1972|2608|2608|2743|2743|2843|2843|3192|3192|3089|3089|3236|3322|3344|,16,93,,
,90511429851826879211065261274096806209361290076668493692964796275875003980641,0,,,,FindOperation,,,402|403|404|491|491|565|565|561|561|584|584|783|783|979|979|1261|1261|1275|1275|1844|1844|1481|1481|1986|1986|1907|1907|2121|2121|2265|2483|2555|,16,94,,
,16646573879907590399509196024616451507181138714942166530960518507274707557048,0,,,,FindOperation,,,405|406|407|614|825|998|,3,95,,
,71896941978754809488137974348151998693205792533709324513258578369466739949960,0,,,,FindOperation,,,408|409|410|598|665|702|,3,96,,
,8494962651170941019486294942303452865045959709160683987927972345505688610755,0,,,,FindOperation,,,411|412|413|821|821|856|856|1285|1285|984|984|1426|1426|1550|1550|1712|1712|1579|1579|1784|1784|2164|2164|2076|2076|2653|2653|2764|2764|2783|2783|3079|3079|3166|3166|3219|3268|3320|,19,97,,
,21444763903864228777611728735683311458635985122844023709586719375032296896384,0,,,,FindOperation,,,414|415|416|493|583|607|,3,98,,
,107442146857094918533505676591216762960158330958637723605132424179098757693914,0,,,,FindOperation,,,417|418|419|659|659|785|885|1172|,4,99,,
,110830005025784807707885435240401099235828375068450137393853593228726798821950,0,,,,FindOperation,,,420|421|422|535|830|855|,3,100,,
,113971621484583213149305319679067523870715092451021047447352655827264442281807,0,,,,FindOperation,,,423|424|425|597|597|638|638|773|1311|1385|,5,101,,
,36093602753225695073056342998991212823352056071849651795082108548812171441038,0,,,,FindOperation,,,426|427|428|496|646|725|,3,102,,
,15816423376537687498175658716381325840356423323453352469729329490184209416980,0,,,,FindOperation,,,429|430|431|841|841|953|953|1062|1062|1442|1442|1657|1657|1671|1671|2110|2110|2059|2059|2056|2056|2642|2642|3010|3010|2769|2769|2878|2878|3149|3149|3177|3177|3225|3225|3255|3313|3341|,19,103,,
,86943771941966688752667475392185371836174192579274714875607531191477248999971,0,,,,FindOperation,,,432|433|434|672|672|862|862|1072|1072|1284|1284|1609|1609|1404|1404|1837|1837|1875|1875|2019|2019|2675|2675|2557|2557|2943|2943|2609|2609|3048|3202|3247|,16,104,,
,53361331161743896077078469861579638670051149682413463443234311020456303226868,0,,,,FindOperation,,,435|436|437|501|501|547|547|915|915|1316|1316|1112|1112|1051|1051|1627|1627|1730|1730|1720|1720|1973|1973|2283|2283|2394|2394|2448|2448|2980|2872|2907|,16,105,,
,15816423376537687498175658716381325840356423323453352469729329490184209416980,0,,,,FindOperation,,,438|439|440|838|838|950|950|1063|1063|1475|1475|1968|1968|1848|1848|1876|1876|2495|2495|2434|2434|2433|2433|2685|2685|2774|2774|2806|2806|3001|3001|2994|2994|3220|3220|3160|3330|3296|,19,106,,
,71896941978754809488137974348151998693205792533709324513258578369466739949960,0,,,,FindOperation,,,441|442|443|599|599|666|666|866|866|701|701|1151|1151|1240|1240|1260|1260|1796|1796|1906|1906|2308|2308|1995|1995|2673|2673|2713|2713|2788|3041|3036|,16,107,,
,20834994022199432358117239076087879786734224697014068324550418630164266292172,0,,,,FindOperation,,,444|445|446|608|608|675|675|722|722|1231|1231|1259|1259|1753|1753|1471|1471|1740|1740|2166|2166|2153|2153|2396|2396|2524|2524|2576|2576|2321|2321|2965|2965|3003|3003|3105|3257|3288|,19,108,,
,112865437415906332786328398388168845416308980718933860169122309032360379224223,0,,,,FindOperation,,,447|448|449|632|632|850|850|1040|1040|1602|1602|1317|1317|1672|1672|2005|2005|2284|2284|2462|2462|2474|2474|2246|2246|2777|2777|2858|2858|2744|2744|3093|3093|3109|3109|3118|3273|3310|,19,109,,
,19191192076126320640924247483532137198489043609278031166569798519948120420409,0,,,,FindOperation,,,450|451|452|545|545|612|612|818|818|1122|1122|1061|1061|941|941|1427|1427|1374|1374|1653|1653|1571|1571|1702|1702|1936|1936|2090|2090|2137|2288|2734|,16,110,,
,6139734692434225139696315491748680034056660966745086280273468544856540785789,0,,,,FindOperation,,,453|454|455|539|539|709|709|845|845|988|988|1271|1271|1708|1708|1877|1877|1636|1636|2182|2182|1888|1888|2325|2325|2615|2615|2431|2431|2833|3049|3066|,16,111,,
,112865437415906332786328398388168845416308980718933860169122309032360379224223,0,,,,FindOperation,,,456|457|458|636|636|859|859|1178|1178|1042|1042|1347|1347|1500|1500|1604|1604|1800|1800|1832|1832|1976|1976|2214|2214|2616|2616|2538|2538|2745|3027|3113|,16,112,,
